date, venue, home, away, hscore, ascore, hpens, apens, winner
13 Jun 1962,Santiago De Chile ,Brazil,Chile,4,2,NA,NA,Brazil
13 Jun 1962,Vina Del Mar ,Czechoslovakia,Yugoslavia,3,1,NA,NA,Czechoslovakia
16 Jun 1962,Santiago De Chile ,Chile,Yugoslavia,1,0,NA,NA,Chile
17 Jun 1962,Santiago De Chile ,Brazil,Czechoslovakia,3,1,NA,NA,Brazil
11 Jul 1966,London ,England,Uruguay,0,0,NA,NA,D
13 Jul 1966,London ,France,Mexico,1,1,NA,NA,D
15 Jul 1966,London ,Uruguay,France,2,1,NA,NA,Uruguay
16 Jul 1966,London ,England,Mexico,2,0,NA,NA,England
19 Jul 1966,London ,Uruguay,Mexico,0,0,NA,NA,D
20 Jul 1966,London ,England,France,2,0,NA,NA,England
12 Jul 1966,Sheffield ,Germany FR,Switzerland,5,0,NA,NA,Germany FR
13 Jul 1966,Birmingham ,Argentina,Spain,2,1,NA,NA,Argentina
15 Jul 1966,Sheffield ,Spain,Switzerland,2,1,NA,NA,Spain
16 Jul 1966,Birmingham ,Germany FR,Argentina,0,0,NA,NA,D
19 Jul 1966,Sheffield ,Argentina,Switzerland,2,0,NA,NA,Argentina
20 Jul 1966,Birmingham ,Germany FR,Spain,2,1,NA,NA,Germany FR
12 Jul 1966,Liverpool ,Brazil,Bulgaria,2,0,NA,NA,Brazil
13 Jul 1966,Manchester ,Portugal,Hungary,3,1,NA,NA,Portugal
15 Jul 1966,Liverpool ,Hungary,Brazil,3,1,NA,NA,Hungary
16 Jul 1966,Manchester ,Portugal,Bulgaria,3,0,NA,NA,Portugal
19 Jul 1966,Liverpool ,Portugal,Brazil,3,1,NA,NA,Portugal
20 Jul 1966,Manchester ,Hungary,Bulgaria,3,1,NA,NA,Hungary
12 Jul 1966,Middlesbrough ,Soviet Union,Korea DPR,3,0,NA,NA,Soviet Union
13 Jul 1966,Sunderland ,Italy,Chile,2,0,NA,NA,Italy
15 Jul 1966,Middlesbrough ,Korea DPR,Chile,1,1,NA,NA,D
16 Jul 1966,Sunderland ,Soviet Union,Italy,1,0,NA,NA,Soviet Union
19 Jul 1966,Middlesbrough ,Korea DPR,Italy,1,0,NA,NA,Korea DPR
20 Jul 1966,Sunderland ,Soviet Union,Chile,2,1,NA,NA,Soviet Union
23 Jul 1966,London ,England,Argentina,1,0,NA,NA,England
23 Jul 1966,Sheffield ,Germany FR,Uruguay,4,0,NA,NA,Germany FR
23 Jul 1966,Sunderland ,Soviet Union,Hungary,2,1,NA,NA,Soviet Union
23 Jul 1966,Liverpool ,Portugal,Korea DPR,5,3,NA,NA,Portugal
25 Jul 1966,Liverpool ,Germany FR,Soviet Union,2,1,NA,NA,Germany FR
26 Jul 1966,London ,England,Portugal,2,1,NA,NA,England
28 Jul 1966,London ,Portugal,Soviet Union,2,1,NA,NA,Portugal
30 Jul 1966,London ,England,Germany FR,4,2,NA,NA,England
31 May 1970,Mexico City ,Mexico,Soviet Union,0,0,NA,NA,D
03 Jun 1970,Mexico City ,Belgium,El Salvador,3,0,NA,NA,Belgium
06 Jun 1970,Mexico City ,Soviet Union,Belgium,4,1,NA,NA,Soviet Union
07 Jun 1970,Mexico City ,Mexico,El Salvador,4,0,NA,NA,Mexico
10 Jun 1970,Mexico City ,Soviet Union,El Salvador,2,0,NA,NA,Soviet Union
